source,target,correlation,abs_correlation,relationship_type,source_price_movement,source_close,source_traded_quantity,source_traded_amount,target_price_movement,target_close,target_traded_quantity,target_traded_amount
ADBL,NABIL,0.8032677976330846,0.8032677976330846,positive,-0.20342532005689912,362.52362162162166,27598.890753911808,11231082.619596016,-1.166145616641902,1225.6920386329866,34434.9676077266,32035156.437708765
NBL,PRVU,0.7992075046385672,0.7992075046385672,positive,-1.0642124789207419,326.5633929173693,89173.25059021922,31678139.9947285,-1.0231106094808127,266.31362528216704,119428.97787810383,33784657.46783747
MBL,NBB,0.7990458542714318,0.7990458542714318,positive,-0.1307960199004974,299.20033167495853,49048.77479270315,14504305.198507464,-0.008458333333333241,375.4579166666667,50240.48333333333,20941272.471916664
KBL,SCB,0.7913669635886593,0.7913669635886593,positive,-0.43260321462338475,274.51987078474633,98031.28931610464,23978504.804639142,-0.26199405646359597,1290.785753343239,14144.993164933136,11906390.341482911
EBL,NBB,0.7899854053812411,0.7899854053812411,positive,-0.10065378900445848,1172.2005943536403,25822.008023774146,22335815.487369984,-0.008458333333333241,375.4579166666667,50240.48333333333,20941272.471916664
GBIME,SBI,0.7870747883597171,0.7870747883597171,positive,-0.7500305227012591,351.5088897367417,90794.59824494467,28794428.18250668,-0.015884101040119458,667.0700624071321,19689.881426448737,9661550.389687965
ADBL,SBI,0.7845832007287483,0.7845832007287483,positive,-0.20342532005689912,362.52362162162166,27598.890753911808,11231082.619596016,-0.015884101040119458,667.0700624071321,19689.881426448737,9661550.389687965
CZBIL,PRVU,0.7826942834087086,0.7826942834087086,positive,-0.11757237715803442,316.919609561753,37718.0764940239,11387899.13330146,-1.0231106094808127,266.31362528216704,119428.97787810383,33784657.46783747
ADBL,PRVU,0.7784894794634882,0.7784894794634882,positive,-0.20342532005689912,362.52362162162166,27598.890753911808,11231082.619596016,-1.0231106094808127,266.31362528216704,119428.97787810383,33784657.46783747
GBIME,NBL,0.7747871635956115,0.7747871635956115,positive,-0.7500305227012591,351.5088897367417,90794.59824494467,28794428.18250668,-1.0642124789207419,326.5633929173693,89173.25059021922,31678139.9947285
